S/N,Institution,Inst. Code,Region,District,Location,Gender,No. of Programs,Programs (Code - Name),Status
205,Toh-Kpalime Technical Institute,9071200,Volta,South Dayi,Toh-Kpalime,Mixed,6,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
903 - BUSINESS INFO. TECH.",Day/Boarding
206,Comboni Tech/Voc Inst.,9070901,Volta,South Tongu,Sogakope,Mixed,14,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
613 - PRINTING
622 - SOLAR PV TECHNOLOGY (CBT OPTION)
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/Boarding
207,Klefe Technical Institute,9070705,Volta,Ho Mun.,Klefe,Mixed,3,"608 - ELECTRICAL ENG. TECH.
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
208,Dzodze Technical Institute,9070710,Volta,Ketu North,Dzodze,Mixed,4,"608 - ELECTRICAL ENG. TECH.
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY",Day
209,Sogakope Technial Institute,9071904,Volta,South Tongu,Sogakope,Mixed,3,"608 - ELECTRICAL ENG. TECH.
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
210,Botoku Technical Insitute,9071201,Volta,Dayi,Botoku,Mixed,6,"608 - ELECTRICAL ENG. TECH.
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING",Day
211,Woe Technical Institute,9070515,Volta,Keta Mun,Woe,Mixed,4,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.",Day
212,Anfoeta Technical Institute,9070155,Volta,Ho West,Anfoeta Gborgame,Mixed,10,"608 - ELECTRICAL ENG. TECH.
610 - AGRICULTURAL MECHANIZATION TECH.
615 - INFORMATION TECH.
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/ Boarding
213,TSC Technical Institute - Asankragwa,9041300,Western,Amenfi West,Asankragwa,Mixed,2,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.",Day
214,Takoradi Tech. Inst.,9040101,Western,Effia Kwesimitsim,Takoradi,Mixed,23,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
607 - SMALL ENGINES TECH.
608 - ELECTRICAL ENG. TECH.
611 - REFRIGERATION & AIR-CONDITION
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
615 - INFORMATION TECH.
618 - SOFTWARE DEVELOPMENT (CBT OPTION, FOR GIRLS ONLY)
620 - DIGITAL DESIGNING TECHNOLOGY
622 - SOLAR PV TECHNOLOGY (CBT OPTION)
625 - RECYCLING TECHNOLOGY (CBT OPTION)
702 - PLUMBING & GAS TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
708 - BUILDING CONS. TECH. (CBT OPTION)
709 - BIODIGESTER
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
901 - BUSINESS SECRETARIAL
902 - BUSINESS ACCOUNTING
903 - BUSINESS INFO. TECH.",Day/ Boarding
215,Takoradi Community Technical Institute,9040107,Western,Effia Kwesimitsim,Anaji,Mixed,4,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
216,Charlotte Dolphyne Technical Institute,9040402,Western,Ellembele,Sanzule,Mixed,6,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
903 - BUSINESS INFO. TECH.",Day/Boarding
217,Kikam Tech. Inst.,9040401,Western,Ellembelle,Kikam,Mixed,12,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
612 - ELECTRONICS ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
622 - SOLAR PV TECHNOLOGY (CBT OPTION)
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
802 - GARMENT / FASHION TECH.",Day/Boarding
218,Asasetre Technical Institute,9040415,Western,Ellembelle,Asasetre,Mixed,6,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day
219,TSC Technical Institute - Half Assini,9040700,Western,Jomoro,Half Assini,Mixed,2,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.",Day/Boarding
220,Axim Technical Institute,9040301,Western,Nzema East,Axim,Mixed,7,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
702 - PLUMBING & GAS TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING",Day/Boarding
221,Sekondi Takoradi Technical Institute,9040102,Western,Sekondi Takoradi Metro,Takoradi,Mixed,8,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.
608 - ELECTRICAL ENG. TECH.
611 - REFRIGERATION & AIR-CONDITION
615 - INFORMATION TECH.
702 - PLUMBING & GAS TECHNOLOGY
802 - GARMENT / FASHION TECH.",Day
222,Opportunities Industralisation Technical Institute - Takoradi,9040105,Western,Sekondi Takoradi Metro,Takoradi,Mixed,8,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY
901 - BUSINESS SECRETARIAL",Day
223,Essipun Technical Institute,9040106,Western,Sekondi Takoradi Metro,Essipun Sekondi,Mixed,11,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
611 - REFRIGERATION & AIR-CONDITION
614 - COMPUTER HARDWARE & SOFTWARE
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/Boarding
224,Shama Technical Institute,9041100,Western,Shama,Shama,Mixed,7,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
707 - ARCHITECTURAL DRAUGHTMANSHIP
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day
225,Manso-Amenfi Technical Institute,9041200,Western,Wassa Amenfi Central,Manso Amenfi,Mixed,5,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/ Boarding
226,Tarkwa Technical Institute,9040201,Western,Wassa West,Tarkwa,Mixed,6,"602 - AUTOMOTIVE  ENG. TECH.
603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
227,Mesu Akompi Technical Institute,9041412,Western,Wassa Amenfi East,Wassa Saa,Mixed,5,"608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
804 - TEXTILE TECHNOLOGY",Day
228,Abura Technical Institute,9040800,Western,Ahanta West,Abura,Mixed,6,"608 - ELECTRICAL ENG. TECH.
614 - COMPUTER HARDWARE & SOFTWARE
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/Boarding
229,St. Ann's Technical Institute,9041201,Western,Sekondi Takoradi Metro,Sekondi,Girls,3,"603 - WELDING & FABRICATION TECH.
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
230,Libermann Technical Institute,9040705,Western,Jomoro,Sowodadzem,Mixed,4,"608 - ELECTRICAL ENG. TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day/ Boarding
231,Sekondi Technical Institute,9040108,Western,Sekondi Takoradi Metro,Sekondi,Mixed,6,"603 - WELDING & FABRICATION TECH.
608 - ELECTRICAL ENG. TECH.
615 - INFORMATION TECH.
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT",Day
232,TSC Technical Institute - Bibiani,9040600,Western North,Bibiani Anhwiaso Bekwai,Bibiani,Mixed,2,"603 - WELDING & FABRICATION TECH.
606 - MECHANICAL ENG TECH.",Day/Boarding
233,Bonso Nkwanta Technical Institute,9040901,Western North,Juaboso,Bonsu Nkwanta,Mixed,9,"602 - AUTOMOTIVE  ENG. TECH.
608 - ELECTRICAL ENG. TECH.
702 - PLUMBING & GAS TECHNOLOGY
705 - WOOD TECHNOLOGY
706 - BUILDING CONSTRUCTION
802 - GARMENT / FASHION TECH.
803 - CATERING & HOSPITALITY MGT
809 - HAIRDRESSING
810 - BEAUTY THERAPY",Day/ Boarding
